architecture,prompt,seed,model,mean_avg_word_frequency,mean_flesch_reading_ease,mean_wiener_sachtextformel,mean_total_sentences,mean_long_sentences_din,mean_long_words_din,mean_passive_sentences,mean_genitive_cases,mean_subjunctive_moods,mean_abbreviations,mean_long_compounds,mean_complex_noun_phrases,mean_bert_precision,mean_bert_recall,mean_bert_f1
single-node,zero-shot,autoseed,llama3.1_8b,5.1131,69.0909,8.32285,6.965,2.805,4.335,0,0.185,0.51,0,0.49,1.9,0.815486533641815,0.837499251961708,0.825915198922157
single-node,zero-shot,autoseed,llama3.3_70b,5.2861,73.4779,7.3983,9.555,3.465,5.41,0,0.22,0.485,0,0.715,3.055,0.826144678592682,0.851859211325646,0.838255668878555
single-node,zero-shot,autoseed,mistral_7b-instruct,3.6166,82.4227,5.73045,8.61,3.385,2.42,0,0.025,0.06,0,0.09,1.16,0.800261279046536,0.835128750503063,0.816909891068935
single-node,zero-shot,autoseed,mixtral_8x7b,5.0493,71.18825,7.49405,6.79,3.5,4.18,0,0.14,1.975,0,0.61,3.165,0.814039525091648,0.844089542627335,0.828475163578987
single-node,zero-shot,autoseed,mixtral_8x22b,4.2464,80.1765,5.1738,10.425,4.36,3.08,0,0.02,0.4,0.05,0.08,1.635,0.819132208526134,0.846026785671711,0.831956002414227
single-node,zero-shot,seeded,finetuned-mistral,5.3048730964467,73.6092385786802,7.03360406091371,4.04568527918782,1.60913705583756,1.78680203045685,0,0.142131979695431,0.0862944162436548,0,0.319796954314721,1.03045685279188,0.825693890225464,0.841859148238516,0.833370211160728
single-node,zero-shot,seeded,llama3.1_8b,5.01175,67.99705,8.70705,6.815,2.465,4.155,0,0.14,0.125,0,0.52,1.525,0.820949501693249,0.844463329017162,0.832150872647762
single-node,zero-shot,seeded,llama3.3_70b,5.26525,72.4411,7.5506,9.145,3.3,4.86,0,0.14,0.26,0,0.625,2.365,0.827859086692333,0.850338001251221,0.838449404537678
single-node,zero-shot,seeded,mistral_7b-instruct,3.7227,83.52385,5.2826,6.675,2.685,1.605,0,0.005,0.07,0,0.01,0.95,0.813790263235569,0.835386842787266,0.823989718258381
single-node,zero-shot,seeded,mixtral_8x7b,5.11875,68.99485,7.8416,7.46,3.585,4.255,0,0.18,2.28,0,0.6,3.86,0.817285963892937,0.844508723914623,0.830350716710091
single-node,zero-shot,seeded,mixtral_8x22b,4.2663,82.10285,5.0061,10.365,4.33,3.24,0,0.05,0.085,0.01,0.1,1.71,0.818206429183483,0.846543287038803,0.83173328846693
